ProductID,Name,Condition,State,Price
8207,Product #8207,195317163-X,Texas,503.15
353,Product #353,874500098-0,Illinois,128.03
7939,Product #7939,314468172-5,California,535.38
2399,Product #2399,521748532-9,Kansas,835.22
541,Product #541,413766652-0,Texas,793.71
6302,Product #6302,127032782-8,Maryland,927.80
2979,Product #2979,922195222-3,Iowa,249.26
5197,Product #5197,073036709-6,Alabama,599.04
860,Product #860,665097606-7,Illinois,263.44
2673,Product #2673,095503375-6,Florida,39.87
8002,Product #8002,147463221-1,Rhode Island,226.90
5219,Product #5219,660396271-3,California,955.18
483,Product #483,070165625-5,Michigan,610.57
5389,Product #5389,516493647-X,Texas,328.98
6822,Product #6822,265643227-8,Florida,613.89
1477,Product #1477,618290510-7,North Carolina,4.97
2089,Product #2089,963968413-9,Kansas,311.81
9109,Product #9109,935633593-1,Minnesota,463.42
9538,Product #9538,855582583-0,Indiana,313.61
3935,Product #3935,788158261-8,Florida,519.93
9907,Product #9907,606988722-0,Virginia,429.17
9889,Product #9889,786409414-7,California,55.93
4956,Product #4956,059987021-4,Texas,292.85
1251,Product #1251,787230731-6,Oregon,733.68
3704,Product #3704,556969579-6,Louisiana,245.43
5416,Product #5416,072456510-8,Georgia,85.97
4742,Product #4742,221349231-X,California,153.16
2730,Product #2730,472593382-1,Pennsylvania,186.27
2998,Product #2998,822774077-4,Illinois,697.14
9469,Product #9469,943461316-7,Florida,739.95
1854,Product #1854,883882318-9,Florida,790.01
5138,Product #5138,530928816-3,Texas,196.56
3294,Product #3294,307979247-5,Indiana,771.82
5337,Product #5337,381505371-4,Illinois,949.42
397,Product #397,635116846-5,Texas,755.38
1111,Product #1111,213748401-3,California,738.03
7823,Product #7823,245329401-6,Texas,163.46
8367,Product #8367,824723706-7,Ohio,670.81
1783,Product #1783,483516515-2,Georgia,894.69
2186,Product #2186,863356693-1,Missouri,199.79
5003,Product #5003,169525704-9,California,137.23
4513,Product #4513,667871080-0,Oklahoma,664.23
7191,Product #7191,400096645-6,New York,551.77
3475,Product #3475,215590531-9,Ohio,303.95
3378,Product #3378,815910507-X,California,918.21
2786,Product #2786,520145279-5,New York,674.37
6010,Product #6010,227801172-3,North Carolina,860.34
1196,Product #1196,723490177-9,Texas,778.67
3877,Product #3877,817655303-4,Ohio,457.37
1785,Product #1785,458423510-4,Oklahoma,210.18
8184,Product #8184,078561695-0,Florida,802.65
2263,Product #2263,890906518-4,Georgia,896.47
4449,Product #4449,901147791-X,Texas,393.98
2659,Product #2659,882233640-2,Maryland,941.93
1051,Product #1051,027445572-2,Texas,274.29
6560,Product #6560,935545348-5,Georgia,984.72
5869,Product #5869,920149431-9,South Carolina,379.35
5690,Product #5690,011115499-5,Kansas,533.21
462,Product #462,614217573-6,Kentucky,820.94
866,Product #866,393075254-9,New Jersey,759.93
4460,Product #4460,700056676-0,Colorado,902.80
7211,Product #7211,762625261-6,Arizona,46.81
3137,Product #3137,712809277-3,Virginia,540.69
3541,Product #3541,365105033-5,Alabama,538.21
6510,Product #6510,050552438-4,Alabama,423.09
7764,Product #7764,262638995-1,Texas,337.44
2717,Product #2717,852046647-8,Arkansas,796.85
8158,Product #8158,439046864-2,Utah,924.98
8560,Product #8560,233088955-0,District of Columbia,660.49
4448,Product #4448,480124102-6,Ohio,983.48
8356,Product #8356,437232447-2,Kentucky,770.33
7980,Product #7980,862962126-5,Texas,210.44
7794,Product #7794,435736382-9,Ohio,166.34
8321,Product #8321,176085886-2,Indiana,590.26
1014,Product #1014,459904624-8,Florida,62.72
6930,Product #6930,377759021-5,Georgia,45.20
8742,Product #8742,490712169-5,Indiana,310.40
4743,Product #4743,584207614-4,Indiana,164.31
6341,Product #6341,378255998-3,Kentucky,336.97
5084,Product #5084,795818453-0,Texas,399.57
9594,Product #9594,151980051-7,Florida,879.24
993,Product #993,338408485-3,New York,979.49
7725,Product #7725,160640811-9,Washington,526.93
5809,Product #5809,809018503-7,Minnesota,270.78
7094,Product #7094,198650482-4,District of Columbia,833.78
7160,Product #7160,187497709-7,Georgia,757.60
9901,Product #9901,623232740-3,Pennsylvania,696.12
6655,Product #6655,167966745-9,Michigan,440.98
930,Product #930,106839839-6,Nevada,311.91
9336,Product #9336,871032746-0,Illinois,192.03
509,Product #509,216255187-X,California,745.70
3854,Product #3854,491372815-6,Missouri,446.04
7312,Product #7312,318453486-3,Virginia,213.13
3941,Product #3941,139735226-4,Pennsylvania,780.55
7519,Product #7519,395937756-8,Alabama,255.37
8917,Product #8917,842147956-3,Kentucky,949.67
2297,Product #2297,470162422-5,Texas,724.09
2920,Product #2920,791775723-4,Missouri,238.42
9293,Product #9293,640753415-1,Texas,985.14
9690,Product #9690,289532895-1,Florida,67.08
5461,Product #5461,329049547-7,Florida,618.83
1540,Product #1540,859358216-8,Alabama,456.14
4279,Product #4279,830756992-3,Virginia,380.30
3991,Product #3991,510477785-5,Alabama,595.09
6359,Product #6359,855622793-7,Nevada,862.41
8699,Product #8699,164420074-0,California,982.97
2450,Product #2450,413267149-6,Michigan,312.08
430,Product #430,140186394-9,Washington,928.44
7304,Product #7304,501140747-0,New York,920.86
494,Product #494,283063256-7,Indiana,129.60
484,Product #484,686683128-8,New Jersey,438.64
4158,Product #4158,016918242-8,Texas,609.56
6806,Product #6806,422835008-9,District of Columbia,825.82
8645,Product #8645,630136600-X,Missouri,266.68
7255,Product #7255,936294421-9,North Carolina,42.27
2285,Product #2285,633893414-1,California,416.62
9590,Product #9590,541359371-6,Wisconsin,343.28
9731,Product #9731,976966648-3,Georgia,96.10
5543,Product #5543,218542797-0,California,892.59
9953,Product #9953,692326608-4,South Carolina,159.51
287,Product #287,147122443-0,Alaska,833.42
5561,Product #5561,538615786-8,Maryland,645.40
848,Product #848,089495492-X,Illinois,488.68
7958,Product #7958,464956643-6,Florida,464.90
8831,Product #8831,872603334-8,Tennessee,166.58
6039,Product #6039,940490423-6,District of Columbia,362.78
3518,Product #3518,489177031-7,California,264.61
8059,Product #8059,647078916-1,Indiana,475.66
9410,Product #9410,303582787-7,New York,910.89
9442,Product #9442,746454202-9,Texas,47.08
8562,Product #8562,304215080-1,New Mexico,277.31
3511,Product #3511,487339589-5,North Carolina,240.27
4535,Product #4535,838800890-0,California,250.75
1836,Product #1836,931847003-7,California,555.81
2669,Product #2669,518447018-2,Nebraska,230.54
6558,Product #6558,981080054-1,Texas,371.83
1549,Product #1549,429626187-8,Kansas,924.95
3019,Product #3019,335692432-X,Florida,69.28
7264,Product #7264,222736288-X,Texas,329.32
4903,Product #4903,805690934-6,Georgia,668.47
4057,Product #4057,253051304-X,North Carolina,937.59
3226,Product #3226,939499760-1,Colorado,261.27
2990,Product #2990,672786689-9,Florida,841.33
9898,Product #9898,250814882-2,Ohio,810.32
8765,Product #8765,135071798-3,Pennsylvania,508.89
334,Product #334,081622899-X,Maryland,186.30
7143,Product #7143,215191151-9,Louisiana,493.86
958,Product #958,707626726-8,Kentucky,816.52
5751,Product #5751,983697132-7,Massachusetts,575.69
4135,Product #4135,307447688-5,South Carolina,78.30
3881,Product #3881,839786883-6,Oklahoma,510.45
442,Product #442,984257277-3,North Carolina,537.90
9361,Product #9361,267231431-4,New York,802.18
4933,Product #4933,026273209-2,Georgia,237.95
1926,Product #1926,653010619-7,Nevada,722.24
4021,Product #4021,932548906-6,California,395.69
4978,Product #4978,228258062-1,Nebraska,447.69
8373,Product #8373,165953525-5,Connecticut,33.63
9726,Product #9726,141587723-8,Florida,229.25
3066,Product #3066,114942308-0,Texas,192.37
1413,Product #1413,731598815-7,Virginia,26.93
4211,Product #4211,185951152-X,North Carolina,33.38
1177,Product #1177,861287492-0,Texas,463.73
9612,Product #9612,934056165-1,Ohio,954.44
9505,Product #9505,047541558-2,Texas,869.56
9192,Product #9192,506581165-2,California,591.61
9241,Product #9241,319636395-3,Ohio,979.64
7439,Product #7439,791668641-4,Alabama,625.69
8160,Product #8160,455640052-X,California,531.58
4128,Product #4128,264602904-7,California,355.68
3428,Product #3428,702271819-9,California,899.61
1418,Product #1418,588253435-6,Florida,247.80
5613,Product #5613,399813743-2,Florida,434.11
4020,Product #4020,209804710-X,Virginia,76.13
7821,Product #7821,499646992-7,Louisiana,746.17
8612,Product #8612,260336636-X,New Jersey,922.45
5364,Product #5364,779736274-2,South Carolina,715.17
1349,Product #1349,234461053-7,North Carolina,743.59
7853,Product #7853,361393353-5,Pennsylvania,246.41
368,Product #368,103973948-2,Florida,572.21
1537,Product #1537,865749724-7,Nevada,333.86
4721,Product #4721,804895746-9,Texas,31.27
9496,Product #9496,124373035-8,Illinois,87.30
6953,Product #6953,031795076-2,Colorado,679.83
6475,Product #6475,228115827-6,Alabama,275.52
405,Product #405,954824514-0,Oklahoma,586.65
8720,Product #8720,324444592-6,Wisconsin,81.27
2104,Product #2104,700495917-1,California,266.13
746,Product #746,173076884-9,Michigan,771.32
4074,Product #4074,817570740-2,Alaska,216.92
9763,Product #9763,073865201-6,Ohio,470.37
9122,Product #9122,493698242-3,Wisconsin,637.92
903,Product #903,660454213-0,Florida,932.67
7278,Product #7278,438473526-X,Texas,835.59
6858,Product #6858,076739867-X,South Carolina,235.77
3130,Product #3130,011160325-0,Virginia,413.93
2234,Product #2234,354963826-4,Utah,525.57
3699,Product #3699,059571254-1,Indiana,633.06
3340,Product #3340,416640989-1,Florida,104.20
8446,Product #8446,511187154-3,Ohio,423.07
6336,Product #6336,313069261-4,Pennsylvania,270.67
5766,Product #5766,861367824-6,New Jersey,92.53
4165,Product #4165,987892502-1,California,247.82
386,Product #386,990072463-1,Oklahoma,104.61
6763,Product #6763,329680593-1,South Carolina,98.83
76,Product #76,912070447-X,Alabama,430.89
3401,Product #3401,030673482-6,Virginia,982.58
4038,Product #4038,719547325-2,Georgia,373.95
580,Product #580,607503890-6,Florida,770.43
5059,Product #5059,133897663-X,California,589.69
8827,Product #8827,680048487-3,Virginia,601.71
6671,Product #6671,047216961-0,Oklahoma,315.10
9850,Product #9850,015962131-3,Washington,770.74
1284,Product #1284,264085902-1,Illinois,319.33
3095,Product #3095,250777764-8,California,555.40
8688,Product #8688,618176674-X,Texas,605.51
5364,Product #5364,370867360-3,Missouri,296.72
2614,Product #2614,129042894-8,Maryland,1.67
6588,Product #6588,986735047-2,Louisiana,97.87
8792,Product #8792,765009590-8,California,881.42
776,Product #776,547623717-8,California,345.43
9228,Product #9228,836009173-0,Colorado,184.14
5851,Product #5851,227964958-6,Pennsylvania,486.48
1716,Product #1716,882904687-6,New York,927.62
4592,Product #4592,966847069-9,California,331.78
4822,Product #4822,954471125-2,District of Columbia,55.16
1886,Product #1886,101277370-1,Texas,880.51
3129,Product #3129,143279751-4,Montana,113.33
555,Product #555,812892501-6,Colorado,748.91
8704,Product #8704,101956319-2,Texas,227.40
8657,Product #8657,703064514-6,Mississippi,873.21
802,Product #802,779950690-3,Minnesota,730.95
7074,Product #7074,022125187-1,Connecticut,808.93
6595,Product #6595,184571360-5,New York,957.88
1635,Product #1635,038160897-2,California,876.30
1412,Product #1412,741775482-1,Florida,718.12
7616,Product #7616,447874923-X,Indiana,547.38
8601,Product #8601,290881441-2,Wisconsin,729.77
