ProductID,Name,Condition,State,Price
7978,Product #7978,617420489-8,Florida,610.38
5646,Product #5646,705290225-7,Texas,426.03
3724,Product #3724,472363059-7,Hawaii,562.71
5831,Product #5831,792557565-4,Florida,7.77
2447,Product #2447,379000179-1,Alaska,321.55
1535,Product #1535,912003598-5,Indiana,280.97
5972,Product #5972,686918704-5,Maryland,369.87
4067,Product #4067,092318653-0,Georgia,554.14
2623,Product #2623,449215706-9,Alaska,222.20
4125,Product #4125,362463503-4,Texas,854.20
548,Product #548,389915923-3,Indiana,264.52
8379,Product #8379,533885502-X,California,321.67
8311,Product #8311,821682508-0,Tennessee,195.18
437,Product #437,595207832-X,Louisiana,611.48
3044,Product #3044,519737863-8,California,973.66
7582,Product #7582,233100413-7,Minnesota,216.94
8812,Product #8812,635371409-2,Kentucky,450.91
155,Product #155,915204806-3,Texas,739.43
3172,Product #3172,280851502-2,New Hampshire,629.63
3739,Product #3739,683644975-X,California,401.14
7551,Product #7551,958838490-7,Florida,921.79
3844,Product #3844,323630030-2,Georgia,385.56
2954,Product #2954,697364500-3,Oklahoma,736.86
6322,Product #6322,699823385-X,Minnesota,4.03
4925,Product #4925,987823149-6,Texas,286.62
8143,Product #8143,218697981-0,West Virginia,761.42
4338,Product #4338,217217533-1,Idaho,480.60
5042,Product #5042,607361822-0,Texas,828.96
7714,Product #7714,587688704-8,Tennessee,137.93
5169,Product #5169,527029031-6,District of Columbia,454.06
2010,Product #2010,794436980-0,New York,88.91
5556,Product #5556,277581414-X,Pennsylvania,296.28
3657,Product #3657,493965899-6,Florida,799.34
9803,Product #9803,112049704-3,Florida,928.75
206,Product #206,014530381-0,Florida,898.38
7619,Product #7619,952573788-8,Ohio,100.65
484,Product #484,558663642-5,Utah,512.05
656,Product #656,718058426-6,Ohio,129.09
7685,Product #7685,932226322-9,Florida,79.25
7019,Product #7019,541834459-5,Texas,366.75
4766,Product #4766,796832791-1,New Mexico,325.83
4358,Product #4358,291880499-1,Florida,402.04
3290,Product #3290,182855405-7,Texas,533.14
8557,Product #8557,833370460-3,Ohio,33.91
7794,Product #7794,146730934-6,Maryland,435.69
4877,Product #4877,035181051-X,Washington,3.50
960,Product #960,847013201-6,Texas,185.00
1224,Product #1224,640603819-3,Ohio,660.55
8478,Product #8478,803729590-7,Louisiana,844.49
3049,Product #3049,933846685-X,Ohio,24.67
2703,Product #2703,473475015-7,Florida,965.89
9045,Product #9045,583341142-4,Indiana,947.09
2650,Product #2650,849774856-5,New York,889.34
7168,Product #7168,187912720-2,California,594.67
2916,Product #2916,226132965-2,Texas,500.11
6214,Product #6214,181017554-2,Colorado,820.42
1402,Product #1402,849956570-0,North Carolina,725.45
8564,Product #8564,117278107-9,Arizona,167.42
6477,Product #6477,094248031-7,California,23.32
1475,Product #1475,299783362-0,California,261.81
6623,Product #6623,210810924-2,California,199.45
3745,Product #3745,453729013-7,Georgia,190.59
5869,Product #5869,306472620-X,West Virginia,628.23
3042,Product #3042,289431019-6,Georgia,56.75
4968,Product #4968,755245881-X,District of Columbia,235.62
1827,Product #1827,972866493-1,New York,30.63
470,Product #470,201743385-3,Florida,804.13
5991,Product #5991,726353297-2,Arizona,863.28
2992,Product #2992,636931136-7,Texas,278.66
611,Product #611,627282402-5,Virginia,221.36
1237,Product #1237,749442080-0,California,88.76
5159,Product #5159,316681594-5,Nevada,40.34
32,Product #32,040123341-3,Connecticut,43.70
4925,Product #4925,254405440-9,Texas,878.94
7486,Product #7486,664333392-X,Indiana,940.37
2688,Product #2688,631875298-6,Alabama,582.10
6526,Product #6526,975901122-0,Oklahoma,245.81
8410,Product #8410,416406458-7,New York,782.34
2007,Product #2007,525439508-7,Georgia,635.92
4986,Product #4986,895716431-6,New York,381.48
6989,Product #6989,301928638-7,Tennessee,419.17
1043,Product #1043,142278066-X,Tennessee,51.55
2777,Product #2777,665533631-7,California,687.55
9575,Product #9575,802428609-2,Texas,13.96
9140,Product #9140,216701518-6,Indiana,793.69
4157,Product #4157,970656289-3,Massachusetts,215.24
5717,Product #5717,681319575-1,New York,35.55
1255,Product #1255,138877683-9,Kentucky,477.78
3676,Product #3676,401991637-3,Pennsylvania,246.88
7845,Product #7845,779523299-X,Virginia,621.07
9928,Product #9928,402035225-9,Texas,354.56
6772,Product #6772,649306159-8,Alaska,804.84
4870,Product #4870,370669897-8,Alabama,314.83
9495,Product #9495,808486628-1,Kentucky,582.14
5739,Product #5739,869242181-2,California,198.80
2522,Product #2522,512209412-8,California,0.08
9012,Product #9012,165823215-1,Virginia,102.58
9194,Product #9194,878485174-0,Minnesota,344.13
2330,Product #2330,023275250-8,Connecticut,481.00
1302,Product #1302,306477226-0,Texas,580.08
8606,Product #8606,355838852-6,Georgia,247.51
5942,Product #5942,093290854-3,Washington,326.64
6503,Product #6503,224398720-1,Tennessee,980.44
9027,Product #9027,855546164-2,Texas,686.53
356,Product #356,989171452-7,Texas,840.18
5658,Product #5658,784869699-5,Tennessee,334.76
6169,Product #6169,301785169-9,Massachusetts,97.71
3858,Product #3858,865902114-2,Iowa,338.10
4497,Product #4497,317020558-7,California,758.42
177,Product #177,139020398-0,Iowa,845.01
6149,Product #6149,645590140-1,Minnesota,275.77
1491,Product #1491,799080539-1,Maryland,852.70
3824,Product #3824,000372137-X,Florida,21.11
1807,Product #1807,010184573-1,Nevada,375.89
6944,Product #6944,358511236-6,California,545.40
8107,Product #8107,081087837-2,Pennsylvania,500.38
6010,Product #6010,162335361-0,Massachusetts,754.91
963,Product #963,195556003-X,Virginia,315.16
9180,Product #9180,489971515-3,Massachusetts,736.60
664,Product #664,948513868-7,District of Columbia,79.89
2333,Product #2333,519179787-6,Virginia,957.93
7101,Product #7101,351553838-0,North Carolina,459.02
674,Product #674,680568556-7,Ohio,182.42
925,Product #925,666879781-4,New Jersey,283.27
3604,Product #3604,453343054-6,Nevada,456.79
6614,Product #6614,111540294-3,Illinois,699.49
9638,Product #9638,772568021-7,North Dakota,201.36
5463,Product #5463,779577943-3,California,399.81
6857,Product #6857,342065052-3,Florida,195.41
1559,Product #1559,428087400-X,Virginia,814.45
6929,Product #6929,959907929-9,Missouri,850.34
4423,Product #4423,194661435-1,Washington,899.91
5922,Product #5922,830750105-9,New York,223.58
212,Product #212,104986439-5,Florida,485.08
7832,Product #7832,099507969-2,New York,809.26
4527,Product #4527,834713765-X,Louisiana,424.45
3103,Product #3103,309384659-5,Indiana,466.44
8664,Product #8664,311438584-2,Georgia,9.51
7909,Product #7909,555633683-0,Florida,410.84
3179,Product #3179,116925455-1,Kansas,127.85
166,Product #166,801245590-0,Utah,131.13
5501,Product #5501,705696310-2,Texas,536.27
1112,Product #1112,188678461-2,California,193.27
9839,Product #9839,094146936-0,New York,125.90
5743,Product #5743,605300364-6,Alabama,170.70
4629,Product #4629,741340812-0,California,564.79
2432,Product #2432,808398935-5,Nevada,848.24
3663,Product #3663,999998292-1,Pennsylvania,903.56
1780,Product #1780,501933838-9,Kentucky,195.93
4581,Product #4581,738045691-1,California,826.21
